Equipo,Liga,Puntos,GolesAFavor,GolesEnContra,Victorias,Empates,Derrotas,PartidosJugados,DifGoles,PromPuntosPorPartido,PorcVictorias
Barcelona,LALIGA,58,63,23,19,1,3,23,40,2.5217391304347827,82.6086956521739
Real Madrid,LALIGA,60,53,19,19,3,2,24,34,2.5,79.16666666666666
Atlético Madrid,LALIGA,45,38,21,13,6,5,24,17,1.875,54.166666666666664
Villarreal,LALIGA,45,44,26,14,3,6,23,18,1.9565217391304348,60.86956521739131
Real Betis,LALIGA,41,39,29,11,8,5,24,10,1.7083333333333333,45.83333333333333
Espanyol,LALIGA,35,29,33,10,5,9,24,-4,1.4583333333333333,41.66666666666667
Celta Vigo,LALIGA,34,32,27,8,10,6,24,5,1.4166666666666667,33.33333333333333
Real Sociedad,LALIGA,31,34,35,8,7,9,24,-1,1.2916666666666667,33.33333333333333
Osasuna,LALIGA,30,28,28,8,6,10,24,0,1.25,33.33333333333333
Athletic Club,LALIGA,31,27,34,9,4,11,24,-7,1.2916666666666667,37.5
Getafe,LALIGA,29,20,28,8,5,11,24,-8,1.2083333333333333,33.33333333333333
Girona,LALIGA,26,22,37,6,8,9,23,-15,1.1304347826086956,26.08695652173913
Sevilla,LALIGA,26,31,39,7,5,12,24,-8,1.0833333333333333,29.166666666666668
Alavés,LALIGA,26,21,30,7,5,12,24,-9,1.0833333333333333,29.166666666666668
Elche,LALIGA,25,31,35,5,10,9,24,-4,1.0416666666666667,20.833333333333336
Mallorca,LALIGA,24,29,39,6,6,12,24,-10,1.0,25.0
Valencia,LALIGA,26,25,37,6,8,10,24,-12,1.0833333333333333,25.0
Rayo Vallecano,LALIGA,25,21,30,6,7,10,23,-9,1.0869565217391304,26.08695652173913
Levante,LALIGA,18,26,40,4,6,13,23,-14,0.782608695652174,17.391304347826086
Real Oviedo,LALIGA,16,13,36,3,7,13,23,-23,0.6956521739130435,13.043478260869565
Arsenal,Premier League,57,50,18,17,6,3,26,32,2.1923076923076925,65.38461538461539
Manchester City,Premier League,53,54,24,16,5,5,26,30,2.0384615384615383,61.53846153846154
Aston Villa,Premier League,50,37,27,15,5,6,26,10,1.9230769230769231,57.692307692307686
Manchester United,Premier League,45,47,37,12,9,5,26,10,1.7307692307692308,46.15384615384615
Chelsea,Premier League,44,47,30,12,8,6,26,17,1.6923076923076923,46.15384615384615
Liverpool,Premier League,42,41,35,12,6,8,26,6,1.6153846153846154,46.15384615384615
Brentford,Premier League,40,40,35,12,4,10,26,5,1.5384615384615385,46.15384615384615
Everton,Premier League,37,29,30,10,7,9,26,-1,1.4230769230769231,38.46153846153847
AFC Bournemouth,Premier League,37,43,45,9,10,7,26,-2,1.4230769230769231,34.61538461538461
Newcastle United,Premier League,36,37,37,10,6,10,26,0,1.3846153846153846,38.46153846153847
Sunderland,Premier League,36,27,30,9,9,8,26,-3,1.3846153846153846,34.61538461538461
Fulham,Premier League,34,35,40,10,4,12,26,-5,1.3076923076923077,38.46153846153847
Crystal Palace,Premier League,32,28,32,8,8,10,26,-4,1.2307692307692308,30.76923076923077
Brighton & Hove Albion,Premier League,31,34,34,7,10,9,26,0,1.1923076923076923,26.923076923076923
Leeds United,Premier League,30,36,45,7,9,10,26,-9,1.1538461538461537,26.923076923076923
Tottenham Hotspur,Premier League,29,36,37,7,8,11,26,-1,1.1153846153846154,26.923076923076923
Nottingham Forest,Premier League,27,25,38,7,6,13,26,-13,1.0384615384615385,26.923076923076923
West Ham United,Premier League,24,32,49,6,6,14,26,-17,0.9230769230769231,23.076923076923077
Burnley,Premier League,18,28,51,4,6,16,26,-23,0.6923076923076923,15.384615384615385
Wolverhampton Wanderers,Premier League,9,16,48,1,6,19,26,-32,0.34615384615384615,3.8461538461538463
Internazionale,Serie A,61,60,21,20,1,4,25,39,2.44,80.0
AC Milan,Serie A,53,40,18,15,8,1,24,22,2.2083333333333335,62.5
Napoli,Serie A,50,38,25,15,5,5,25,13,2.0,60.0
AS Roma,Serie A,47,31,16,15,2,8,25,15,1.88,60.0
Juventus,Serie A,46,43,23,13,7,5,25,20,1.84,52.0
Atalanta,Serie A,42,34,21,11,9,5,25,13,1.68,44.0
Como,Serie A,41,38,18,11,8,5,24,20,1.7083333333333333,45.83333333333333
Bologna,Serie A,33,34,32,9,6,10,25,2,1.32,36.0
Lazio,Serie A,33,26,25,8,9,8,25,1,1.32,32.0
Sassuolo,Serie A,32,29,35,9,5,11,25,-6,1.28,36.0
Udinese,Serie A,32,28,38,9,5,11,25,-10,1.28,36.0
Parma,Serie A,29,18,31,7,8,10,25,-13,1.16,28.000000000000004
Cagliari,Serie A,28,28,33,7,7,10,24,-5,1.1666666666666667,29.166666666666668
Torino,Serie A,27,25,44,7,6,12,25,-19,1.08,28.000000000000004
Cremonese,Serie A,24,21,33,5,9,11,25,-12,0.96,20.0
Genoa,Serie A,24,29,37,5,9,11,25,-8,0.96,20.0
Lecce,Serie A,21,15,31,5,6,13,24,-16,0.875,20.833333333333336
Fiorentina,Serie A,21,29,39,4,9,12,25,-10,0.84,16.0
Pisa,Serie A,15,20,42,1,12,12,25,-22,0.6,4.0
Hellas Verona,Serie A,15,19,43,2,9,14,25,-24,0.6,8.0
