Equipo,Liga,Puntos,GolesAFavor,GolesEnContra,Victorias,Empates,Derrotas,PartidosJugados,DifGoles,PromPuntosPorPartido,PorcVictorias,RatioOfensivoDefensivo,EficienciaGlobal
Barcelona,LALIGA,58,63,23,19,1,3,23,40,2.5217391304347827,82.6086956521739,2.739130434782609,1.7391304347826086
Internazionale,Serie A,61,60,21,20,1,4,25,39,2.44,80.0,2.857142857142857,1.56
Real Madrid,LALIGA,60,53,19,19,3,2,24,34,2.5,79.16666666666666,2.789473684210526,1.4166666666666667
Arsenal,Premier League,57,50,18,17,6,3,26,32,2.1923076923076925,65.38461538461539,2.7777777777777777,1.2307692307692308
AC Milan,Serie A,53,40,18,15,8,1,24,22,2.2083333333333335,62.5,2.2222222222222223,0.9166666666666666
Manchester City,Premier League,53,54,24,16,5,5,26,30,2.0384615384615383,61.53846153846154,2.25,1.1538461538461537
Villarreal,LALIGA,45,44,26,14,3,6,23,18,1.9565217391304348,60.86956521739131,1.6923076923076923,0.782608695652174
Napoli,Serie A,50,38,25,15,5,5,25,13,2.0,60.0,1.52,0.52
AS Roma,Serie A,47,31,16,15,2,8,25,15,1.88,60.0,1.9375,0.6
Aston Villa,Premier League,50,37,27,15,5,6,26,10,1.9230769230769231,57.692307692307686,1.3703703703703705,0.38461538461538464
Atlético Madrid,LALIGA,45,38,21,13,6,5,24,17,1.875,54.166666666666664,1.8095238095238095,0.7083333333333334
Juventus,Serie A,46,43,23,13,7,5,25,20,1.84,52.0,1.8695652173913044,0.8
Manchester United,Premier League,45,47,37,12,9,5,26,10,1.7307692307692308,46.15384615384615,1.2702702702702702,0.38461538461538464
Chelsea,Premier League,44,47,30,12,8,6,26,17,1.6923076923076923,46.15384615384615,1.5666666666666667,0.6538461538461539
Liverpool,Premier League,42,41,35,12,6,8,26,6,1.6153846153846154,46.15384615384615,1.1714285714285715,0.23076923076923078
Brentford,Premier League,40,40,35,12,4,10,26,5,1.5384615384615385,46.15384615384615,1.1428571428571428,0.19230769230769232
Real Betis,LALIGA,41,39,29,11,8,5,24,10,1.7083333333333333,45.83333333333333,1.3448275862068966,0.4166666666666667
Como,Serie A,41,38,18,11,8,5,24,20,1.7083333333333333,45.83333333333333,2.111111111111111,0.8333333333333334
